Date,Open,High,Low,Close,Adj Close,Volume,Change %
08/25/2021,1802.86,1803.57,1782.45,1790.68,1790.68,0,-0.66%
08/24/2021,1805.61,1810.03,1799.73,1802.61,1802.61,0,-0.14%
08/23/2021,1780.55,1806.92,1776.03,1805.20,1805.20,0,1.37%
08/20/2021,1780.44,1788.85,1777.96,1780.87,1780.87,0,0.04%
08/19/2021,1788.05,1792.56,1774.20,1780.18,1780.18,0,-0.41%
08/18/2021,1786.21,1794.31,1777.31,1787.59,1787.59,0,0.09%
08/17/2021,1787.51,1795.77,1780.28,1785.96,1785.96,0,-0.07%
08/16/2021,1778.44,1789.51,1770.38,1787.24,1787.24,0,0.45%
08/13/2021,1752.72,1780.53,1751.27,1779.15,1779.15,0,1.52%
08/12/2021,1751.66,1758.62,1741.29,1752.44,1752.44,0,0.05%
08/11/2021,1729.01,1754.63,1723.54,1751.56,1751.56,0,1.32%
08/10/2021,1729.74,1738.49,1717.17,1728.71,1728.71,0,-0.04%
08/09/2021,1763.34,1764.65,1684.77,1729.46,1729.46,0,-1.89%
08/06/2021,1804.28,1804.93,1758.33,1762.69,1762.69,0,-2.29%
08/05/2021,1811.69,1815.45,1797.74,1804.01,1804.01,0,-0.41%
08/04/2021,1810.60,1832.10,1806.54,1811.41,1811.41,0,0.08%
08/03/2021,1813.64,1815.18,1806.73,1809.94,1809.94,0,-0.19%
08/02/2021,1814.34,1819.94,1805.12,1813.39,1813.39,0,-0.01%
07/30/2021,1828.21,1831.63,1809.48,1813.58,1813.58,0,-0.79%
07/29/2021,1807.15,1833.05,1806.29,1827.95,1827.95,0,1.17%
07/28/2021,1799.00,1809.90,1792.60,1806.88,1806.88,0,0.45%
07/27/2021,1797.53,1805.60,1792.83,1798.73,1798.73,0,0.08%
07/26/2021,1802.65,1811.97,1795.68,1797.27,1797.27,0,-0.23%
07/23/2021,1806.95,1810.56,1790.45,1801.34,1801.34,0,-0.30%
07/22/2021,1803.58,1808.34,1792.11,1806.69,1806.69,0,0.19%
07/21/2021,1810.32,1814.02,1794.18,1803.31,1803.31,0,-0.37%
07/20/2021,1812.61,1825.27,1805.06,1810.03,1810.03,0,-0.13%
07/19/2021,1811.65,1817.56,1794.66,1812.34,1812.34,0,0.08%
07/16/2021,1829.45,1832.20,1808.65,1810.89,1810.89,0,-1.00%
